ISIN,Symbol,Name,Series,Instrument_ID,Symbol_NSE,Name_NSE,Symbol_BSE,Name_BSE,Series_BSE,BSE_Code
DUMMY0000131,PHARMAINAV,PHARMABEES INAV,EQ,10149.0,PHARMAINAV,PHARMABEES INAV,,,,
DUMMY0000132,AUTOBEINAV,AUTOBEES INAV,EQ,10150.0,AUTOBEINAV,AUTOBEES INAV,,,,
DUMMY0000133,QNIFTYINAV,QNIFTY INAV,EQ,10151.0,QNIFTYINAV,QNIFTY INAV,,,,
DUMMY0000134,SBILTYINAV,SBIETFQLTY INAV,EQ,10152.0,SBILTYINAV,SBIETFQLTY INAV,,,,
DUMMY0000135,SBICONINAV,SBIETFCON INAV,EQ,10153.0,SBICONINAV,SBIETFCON INAV,,,,
DUMMY0000136,SBIFPBINAV,SBIETFPB INAV,EQ,10154.0,SBIFPBINAV,SBIETFPB INAV,,,,
DUMMY0000137,SETF10INAV,SETF10GILT INAV,EQ,10155.0,SETF10INAV,SETF10GILT INAV,,,,
DUMMY0000138,SBIETFINAV,SBIETFIT INAV,EQ,10160.0,SBIETFINAV,SBIETFIT INAV,,,,
DUMMY0000139,SETF50INAV,SETFNIF50 INAV,EQ,10161.0,SETF50INAV,SETFNIF50 INAV,,,,
DUMMY0000140,SETFNIINAV,SETFNIFBK INAV,EQ,10166.0,SETFNIINAV,SETFNIFBK INAV,,,,
DUMMY0000141,SETFNNINAV,SETFNN50 INAV,EQ,10167.0,SETFNNINAV,SETFNN50 INAV,,,,
DUMMY0000142,NETFINAV,NETF INAV,EQ,10168.0,NETFINAV,NETF INAV,,,,
DUMMY0000143,TNIDETINAV,TNIDETF INAV,EQ,10169.0,TNIDETINAV,TNIDETF INAV,,,,
DUMMY0000144,NPBETINAV,NPBET INAV,EQ,10170.0,NPBETINAV,NPBET INAV,,,,
DUMMY0000145,UTIBANINAV,UTIBANKETF INAV,EQ,10171.0,UTIBANINAV,UTIBANKETF INAV,,,,
DUMMY0000146,UTINEXINAV,UTINEXT50 INAV,EQ,10172.0,UTINEXINAV,UTINEXT50 INAV,,,,
DUMMY0000147,UTINIFINAV,UTINIFTETF INAV,EQ,10173.0,UTINIFINAV,UTINIFTETF INAV,,,,
DUMMY0000148,UTISENINAV,UTISENSETF INAV,EQ,10175.0,UTISENINAV,UTISENSETF INAV,,,,
DUMMY0000149,UTISXNINAV,UTISXN50 INAV,EQ,10182.0,UTISXNINAV,UTISXN50 INAV,,,,
DUMMY0000150,HDF100INAV,HDFCNIF100 INAV,EQ,10583.0,HDF100INAV,HDFCNIF100 INAV,,,,
DUMMY0000151,HDFC50INAV,HDFCNEXT50 INAV,EQ,10584.0,HDFC50INAV,HDFCNEXT50 INAV,,,,
DUMMY0000152,KOCONSINAV,KOTAKMAMC - KOCONSINAV,EQ,10523.0,KOCONSINAV,KOTAKMAMC - KOCONSINAV,,,,
DUMMY0000153,MOHLTHINAV,MOTILALAMC - MOHLTHINAV,EQ,10582.0,MOHLTHINAV,MOTILALAMC - MOHLTHINAV,,,,
DUMMY0000154,ICICMOINAV,ICICIPRAMC - ICICMOINAV,EQ,10589.0,ICICMOINAV,ICICIPRAMC - ICICMOINAV,,,,
DUMMY0000155,KOKMNCINAV,KOTAKMAMC - KOTAKMNCINAV,EQ,10680.0,KOKMNCINAV,KOTAKMAMC - KOTAKMNCINAV,,,,
DUMMY0000156,MOMNTMINAV,BIRLASLAMC - MOMNTMINAV,EQ,10715.0,MOMNTMINAV,BIRLASLAMC - MOMNTMINAV,,,,
DUMMY0000157,NFQLTYINAV,BIRLASLAMC - NFQLTYINAV,EQ,10714.0,NFQLTYINAV,BIRLASLAMC - NFQLTYINAV,,,,
DUMMY0000158,ICINFRINAV,ICICIPRAMC - ICINFRINAV,EQ,10756.0,ICINFRINAV,ICICIPRAMC - ICINFRINAV,,,,
DUMMY0000159,DSPSILINAV,DSPAMC - DSPSILINAV,EQ,10764.0,DSPSILINAV,DSPAMC - DSPSILINAV,,,,
DUMMY0000160,HDFCSIINAV,HDFCAMC - HDFCSIINAV,EQ,10883.0,HDFCSIINAV,HDFCAMC - HDFCSIINAV,,,,
DUMMY0000161,AXISILINAV,AXISAMC - AXISILINAV,EQ,11206.0,AXISILINAV,AXISAMC - AXISILINAV,,,,
DUMMY0000162,HDFCGRINAV,HDFCAMC - HDFCGRINAV,EQ,11266.0,HDFCGRINAV,HDFCAMC - HDFCGRINAV,,,,
DUMMY0000163,HDFCQUINAV,HDFCAMC - HDFCQUINAV,EQ,11267.0,HDFCQUINAV,HDFCAMC - HDFCQUINAV,,,,
DUMMY0000164,HDFCVLINAV,HDFCAMC - HDFCVLINAV,EQ,11272.0,HDFCVLINAV,HDFCAMC - HDFCVLINAV,,,,
DUMMY0000165,HDFCMOINAV,HDFCAMC - HDFCMOMENT,EQ,11551.0,HDFCMOINAV,HDFCAMC - HDFCMOMENT,,,,
DUMMY0000166,HDFCLVINAV,HDFCAMC - HDFCLOWVOL,EQ,11553.0,HDFCLVINAV,HDFCAMC - HDFCLOWVOL,,,,
DUMMY0000168,HDFCPBINAV,HDFCAMC - HDFCPBINAV,EQ,12119.0,HDFCPBINAV,HDFCAMC - HDFCPBINAV,,,,
DUMMY0000169,ICIFININAV,ICICIPRAMC-ICIFININAV,EQ,12593.0,ICIFININAV,ICICIPRAMC-ICIFININAV,,,,
DUMMY0000170,KOTAKSINAV,KOTAKMAMC - KOTAKSINAV,EQ,13089.0,KOTAKSINAV,KOTAKMAMC - KOTAKSINAV,,,,
DUMMY0000171,EBB433INAV,EDELAMC - EBB433INAV,EQ,13168.0,EBB433INAV,EDELAMC - EBB433INAV,,,,
DUMMY0000172,IC10GSINAV,ICICIPRAMC - IC10GSINAV,EQ,13169.0,IC10GSINAV,ICICIPRAMC - IC10GSINAV,,,,
DUMMY0000173,ICICOMINAV,ICICIPRAMC - ICICOMINAV,EQ,13214.0,ICICOMINAV,ICICIPRAMC - ICICOMINAV,,,,
DUMMY0000174,DSPBNKINAV,DSPAMC - DSPBNKINAV,EQ,13655.0,DSPBNKINAV,DSPAMC - DSPBNKINAV,,,,
DUMMY0000175,KOTLIQINAV,KOTAKMAMC - KOTLIQINAV,EQ,13956.0,KOTLIQINAV,KOTAKMAMC - KOTLIQINAV,,,,
DUMMY0000176,HBS500INAV,HDFCAMC - HBS500INAV,EQ,14239.0,HBS500INAV,HDFCAMC - HBS500INAV,,,,
DUMMY0000177,HMI150INAV,HDFCAMC - HMI150INAV,EQ,14241.0,HMI150INAV,HDFCAMC - HMI150INAV,,,,
DUMMY0000178,HSM250INAV,HDFCAMC - HSM250INAV,EQ,14243.0,HSM250INAV,HDFCAMC - HSM250INAV,,,,
DUMMY0000179,MAGOLDINAV,MIRAEAMC - MAGOLDINAV,EQ,14289.0,MAGOLDINAV,MIRAEAMC - MAGOLDINAV,,,,
DUMMY0000180,ABSLLQINAV,BIRLASLAMC - ABSLLQINAV,EQ,14524.0,ABSLLQINAV,BIRLASLAMC - ABSLLQINAV,,,,
DUMMY0000181,PSBKICINAV,ICICIPRAMC - PSBKICINAV,EQ,14589.0,PSBKICINAV,ICICIPRAMC - PSBKICINAV,,,,
DUMMY0000182,AXSNSXINAV,AXISAMC - AXSNSXINAV,EQ,14746.0,AXSNSXINAV,AXISAMC - AXSNSXINAV,,,,
DUMMY0000183,MNV30FINAV,MIRAEAMC - MNV30FINAV,EQ,14811.0,MNV30FINAV,MIRAEAMC - MNV30FINAV,,,,
DUMMY0000184,MAG813INAV,MIRAEAMC - MAG813INAV,EQ,14953.0,MAG813INAV,MIRAEAMC - MAG813INAV,,,,
DUMMY0000185,SILETFINAV,UTIAMC - SILETFINAV,EQ,15094.0,SILETFINAV,UTIAMC - SILETFINAV,,,,
DUMMY0000186,DSPGOINAV,DSPAMC - DSPGOLDETF,EQ,15363.0,DSPGOINAV,DSPAMC - DSPGOLDETF,,,,
DUMMY0000187,MASILINAV,MIRAEAMC - MASILINAV,EQ,16780.0,MASILINAV,MIRAEAMC - MASILINAV,,,,
DUMMY0000188,HDFCNIINAV,HDFCAMC - HDFCNIINAV,EQ,16922.0,HDFCNIINAV,HDFCAMC - HDFCNIINAV,,,,
DUMMY0000189,DSPNITINAV,DSPAMC - DSPNITINAV,EQ,17217.0,DSPNITINAV,DSPAMC - DSPNITINAV,,,,
DUMMY0000190,BNKETFINAV,MIRAEAMC - BNKETFINAV,EQ,17426.0,BNKETFINAV,MIRAEAMC - BNKETFINAV,,,,
DUMMY0000191,LIQIDINAV,MIRAEAMC - LIQIDINAV,EQ,17575.0,LIQIDINAV,MIRAEAMC - LIQIDINAV,,,,
